key	fr	es	de
RIDE IN PROGRESS	TRAJET EN COURS	TRAYECTO EN CURSO	FAHRT LÄUFT
Sharing off	Partage désactivé	No se está compartiendo	Freigabe aus
Check in or end your ride when you’re ready.	Donnez de vos nouvelles ou terminez le trajet lorsque vous êtes prêt.	Confirma que estás bien o termina el trayecto cuando quieras.	Melde dich oder beende die Fahrt, sobald du bereit bist.
Check-in options	Donner de vos nouvelles	Confirmar tu estado	Rückmeldung
One more journey.\nA little more insight.	Un trajet de plus.\nUn nouveau bilan.	Un trayecto más.\nUn nuevo resumen.	Eine weitere Fahrt.\nNeue Einblicke.
Reports saved	Signalements enregistrés	Avisos guardados	Gespeicherte Meldungen
Check-in delivery	Envoi de vos nouvelles	Entrega de la confirmación	Zustellung der Rückmeldung
Not verified	Non vérifié	No verificado	Nicht bestätigt
How did this route feel?	Comment avez-vous vécu ce trajet ?	¿Cómo te has sentido en esta ruta?	Wie hast du diese Route empfunden?
Mixed	Mitigé	Sensaciones mixtas	Gemischt
Uncomfortable	Inconfortable	Incómodo	Unangenehm
Plan another ride	Planifier un autre trajet	Planificar otro trayecto	Weitere Fahrt planen
You control what leaves your phone	Vous décidez de ce qui est partagé	Tú controlas lo que sale de tu teléfono	Du entscheidest, was dein Telefon verlässt
Share a check-in…	Donner de mes nouvelles…	Compartir que estoy bien…	Rückmeldung teilen…
Trusted people · saved locally	Personnes de confiance · sur cet appareil	Personas de confianza · guardadas localmente	Vertrauenspersonen · lokal gespeichert
Trusted people	Personnes de confiance	Personas de confianza	Vertrauenspersonen
Trusted contacts	Contacts de confiance	Contactos de confianza	Vertrauenspersonen
Your everyday ride.	Vos trajets quotidiens.	Tus trayectos diarios.	Deine täglichen Fahrten.
Applies to new rides. A local reminder asks you to check in; it does not notify a trusted person.	S’applique aux nouveaux trajets. Un rappel local vous invite à donner de vos nouvelles ; il ne prévient pas vos contacts.	Se aplica a nuevos trayectos. Un recordatorio local te pide confirmar que estás bien; no avisa a tus contactos.	Gilt für neue Fahrten. Eine lokale Erinnerung bittet dich um eine Rückmeldung; sie benachrichtigt keine Vertrauensperson.
Terms	Conditions d’utilisation	Condiciones de uso	Nutzungsbedingungen
Development terms	Conditions de la version de développement	Condiciones de la versión de desarrollo	Bedingungen der Entwicklungsversion
Made for your ride	Pensé pour vos trajets	Pensado para tus trayectos	Für deine Fahrten
Voice guidance	Indications vocales	Indicaciones de voz	Sprachhinweise
Check-in prompts	Rappels pour donner des nouvelles	Avisos para confirmar tu estado	Erinnerungen zur Rückmeldung
Report confirmation	Confirmation des signalements	Confirmación de avisos	Bestätigung von Meldungen
Test spoken guidance	Tester les indications vocales	Probar indicaciones de voz	Sprachhinweise testen
What’s my ETA?	Quand vais-je arriver ?	¿A qué hora llegaré?	Wann komme ich an?
RideGuard synthesises spoken responses on your device. It does not record raw audio, save transcripts or send language to an AI service. Siri’s own processing and privacy settings are managed by Apple.	RideGuard produit les réponses vocales sur votre appareil. L’app n’enregistre aucun son, ne conserve aucune transcription et n’envoie aucun texte à un service d’IA. Apple gère le traitement et les réglages de confidentialité de Siri.	RideGuard genera las respuestas de voz en tu dispositivo. No graba audio, no guarda transcripciones ni envía texto a un servicio de IA. Apple gestiona el procesamiento y los ajustes de privacidad de Siri.	RideGuard erzeugt Sprachausgaben auf deinem Gerät. Die App zeichnet kein Audio auf, speichert keine Transkripte und sendet keinen Text an einen KI-Dienst. Verarbeitung und Datenschutzeinstellungen von Siri werden von Apple verwaltet.
Save a place	Enregistrer un lieu	Guardar un lugar	Ort speichern
Save place	Enregistrer le lieu	Guardar lugar	Ort speichern
Your everyday\njourneys, understood.	Le bilan de vos\ntrajets quotidiens.	El resumen de tus\ntrayectos diarios.	Deine täglichen\nFahrten im Überblick.
Your story starts with a ride	Votre histoire commence par un trajet	Tu historia empieza con un trayecto	Deine Geschichte beginnt mit einer Fahrt
Completed rides	Trajets terminés	Trayectos completados	Abgeschlossene Fahrten
Reports saved during rides	Signalements pendant les trajets	Avisos guardados durante trayectos	Meldungen während der Fahrten
Ride history	Historique des trajets	Historial de trayectos	Fahrtverlauf
Riding insights	Bilan des trajets	Resumen de trayectos	Fahrtübersicht
Demo ride check-in	Rappel du trajet démo	Recordatorio del trayecto de demo	Rückmeldung zur Demofahrt
Your expected arrival has passed. Open RideGuard to check in or add more time.	Votre heure d’arrivée estimée est dépassée. Ouvrez RideGuard pour donner de vos nouvelles ou ajouter du temps.	Ya ha pasado tu hora de llegada estimada. Abre RideGuard para confirmar que estás bien o añadir más tiempo.	Deine geschätzte Ankunftszeit ist überschritten. Öffne RideGuard, um dich zu melden oder mehr Zeit hinzuzufügen.
